Currency,Date,ClosingPrice,24hOpen,24hHigh,24hLow
TRX,3/12/2019,0.022188446,0.021958854,0.022419944,0.021509202
TRX,3/13/2019,0.022109814,0.022177198,0.022306304,0.021723867
TRX,3/14/2019,0.022263731,0.022109814,0.022776385,0.0219477
TRX,3/15/2019,0.022754323,0.022263703,0.022925013,0.0221568
TRX,3/16/2019,0.023030793,0.022754351,0.023408982,0.022693463
TRX,3/17/2019,0.022822934,0.023017404,0.023041532,0.022592493
TRX,3/18/2019,0.022560897,0.022822899,0.023109906,0.022299248
TRX,3/19/2019,0.022584701,0.022683325,0.022754978,0.022333454
TRX,3/20/2019,0.022700993,0.022584851,0.022768981,0.022373347
TRX,3/21/2019,0.022137604,0.022719323,0.022801776,0.021927979
TRX,3/22/2019,0.022514014,0.022136948,0.02265269,0.022085017
TRX,3/23/2019,0.024062213,0.022458292,0.024331565,0.022395931
TRX,3/24/2019,0.023239111,0.024062213,0.024297977,0.022800684
TRX,3/25/2019,0.022549325,0.023239111,0.02329904,0.022062215
TRX,3/26/2019,0.022324633,0.022549325,0.022602463,0.021848667
TRX,3/27/2019,0.023270668,0.022322247,0.023332772,0.022148453
TRX,3/28/2019,0.023013009,0.023270668,0.023407394,0.02272288
TRX,3/29/2019,0.023245039,0.023013009,0.023805983,0.022834349
TRX,3/30/2019,0.023190857,0.023306233,0.023541927,0.022741791
TRX,3/31/2019,0.023542286,0.023190857,0.023549468,0.023092855
TRX,4/1/2019,0.024344689,0.023542286,0.02499843,0.023262649
TRX,4/2/2019,0.026667769,0.024344689,0.02679,0.024144563
TRX,4/3/2019,0.02682883,0.026667769,0.029378441,0.026584454
TRX,4/4/2019,0.025640979,0.026192121,0.026967847,0.025048828
TRX,4/5/2019,0.027161053,0.025640457,0.027555412,0.025618874
TRX,4/6/2019,0.026648474,0.027149722,0.027509354,0.026349732
TRX,4/7/2019,0.028663446,0.026648474,0.029454809,0.02653273
TRX,4/8/2019,0.030520753,0.028663446,0.031691482,0.027539267
TRX,4/9/2019,0.030123701,0.030520233,0.031140383,0.028941495
TRX,4/10/2019,0.029922904,0.030121626,0.03095882,0.029610997
TRX,4/11/2019,0.026822227,0.030117246,0.030132074,0.025642417
TRX,4/12/2019,0.026553539,0.026782835,0.027205243,0.025551283
TRX,4/13/2019,0.026110657,0.026553539,0.02690778,0.025904763
TRX,4/14/2019,0.026980445,0.026162174,0.027032862,0.025951998
TRX,4/15/2019,0.026199239,0.026978049,0.027580715,0.025814481
TRX,4/16/2019,0.026760867,0.026199239,0.026973437,0.025973273
TRX,4/17/2019,0.026659397,0.026760867,0.026964257,0.026388366
TRX,4/18/2019,0.026799088,0.026575835,0.027184337,0.026562419
TRX,4/19/2019,0.026913303,0.026832318,0.027065743,0.026072162
TRX,4/20/2019,0.026741794,0.026913303,0.027052271,0.026453836
TRX,4/21/2019,0.025697911,0.026741794,0.026904369,0.025104544
TRX,4/22/2019,0.025753737,0.02584844,0.026062413,0.025352609
TRX,4/23/2019,0.025233936,0.025753737,0.025952828,0.025128848
TRX,4/24/2019,0.024182562,0.025233936,0.025308215,0.023913958
TRX,4/25/2019,0.024211401,0.024182562,0.025867851,0.023639535
TRX,4/26/2019,0.024056807,0.023801561,0.024601103,0.023085091
TRX,4/27/2019,0.023832554,0.024056807,0.024174594,0.023470826
TRX,4/28/2019,0.02359543,0.023832554,0.023928348,0.023538107
TRX,4/29/2019,0.022845191,0.023649907,0.023720449,0.022340407
TRX,4/30/2019,0.02379585,0.022845191,0.023862162,0.022763222
TRX,5/1/2019,0.02374352,0.02379585,0.023965317,0.023273801
TRX,5/2/2019,0.023682918,0.02366371,0.023853394,0.023452217
TRX,5/3/2019,0.024040172,0.023682918,0.024359705,0.023406668
TRX,5/4/2019,0.023683835,0.024105246,0.024664278,0.023186188
TRX,5/5/2019,0.023567151,0.023471116,0.023771714,0.023284535
TRX,5/6/2019,0.02423815,0.023567151,0.024407046,0.023209335
TRX,5/7/2019,0.024504197,0.02423815,0.024518707,0.023816314
TRX,5/8/2019,0.024723119,0.024083324,0.025120841,0.023805938
TRX,5/9/2019,0.02382475,0.024723119,0.024849413,0.023633331
TRX,5/10/2019,0.024346138,0.023826798,0.024410532,0.023168766
TRX,5/11/2019,0.026093505,0.024239127,0.026100097,0.02395317
TRX,5/12/2019,0.024565552,0.025441594,0.025954111,0.02395588
TRX,5/13/2019,0.024953658,0.024565556,0.025818483,0.024374034
TRX,5/14/2019,0.027324997,0.024953658,0.028292027,0.024552626
TRX,5/15/2019,0.030482618,0.027897442,0.030485112,0.026730364
TRX,5/16/2019,0.029663488,0.030482145,0.033335604,0.028142718
TRX,5/17/2019,0.027963981,0.029663488,0.030271379,0.025289791
TRX,5/18/2019,0.027937404,0.027963981,0.028887708,0.027192624
TRX,5/19/2019,0.029213228,0.027577432,0.029304067,0.027512771
TRX,5/20/2019,0.027804022,0.029213228,0.029394395,0.023375068
TRX,5/21/2019,0.028572322,0.027805531,0.029983811,0.027472746
TRX,5/22/2019,0.027033105,0.028571979,0.029009709,0.02616852
TRX,5/23/2019,0.027132512,0.027033557,0.027406374,0.025761537
TRX,5/24/2019,0.027800396,0.027110448,0.028447575,0.026791807
TRX,5/25/2019,0.027978352,0.027717919,0.028944042,0.027523951
TRX,5/26/2019,0.031199472,0.027978431,0.032074791,0.027184284
TRX,5/27/2019,0.03484935,0.031197004,0.036581158,0.030985335
TRX,5/28/2019,0.034587881,0.03499307,0.03690998,0.03261283
TRX,5/29/2019,0.034082793,0.034601875,0.034886262,0.031941636
TRX,5/30/2019,0.030909531,0.033724499,0.03583112,0.029706583
TRX,5/31/2019,0.032353045,0.030908367,0.032569808,0.01847781
TRX,6/1/2019,0.037969905,0.032356126,0.039287861,0.032329821
TRX,6/2/2019,0.039037176,0.037971273,0.041036307,0.003053296
TRX,6/3/2019,0.036719922,0.039042771,0.039657132,0.019377872
TRX,6/4/2019,0.034165094,0.03373404,0.036063544,0.002475547
TRX,6/5/2019,0.033960139,0.034165018,0.035793653,0.024166538
TRX,6/6/2019,0.032462787,0.034029924,0.03424224,0.02151124
TRX,6/7/2019,0.03381823,0.032435847,0.034538357,0.02127297
TRX,6/8/2019,0.032292863,0.033818038,0.034038708,0.004399709
TRX,6/9/2019,0.029437149,0.032167583,0.032412822,0.003219777
TRX,6/10/2019,0.031275178,0.02943718,0.031846199,0.027352525
TRX,6/11/2019,0.03127764,0.031630802,0.031680152,0.0201681
TRX,6/12/2019,0.032920551,0.031277216,0.033363059,0.02192429
